movie_id,primary_title,runtime_minutes,genres,averagerating,numvotes
tt1510989,Paranormal Abduction,83.0,Thriller,3.9,83
tt1512098,Nicht weit von mir,95.0,Drama,5.9,33
tt1512102,Cindy Does Not Love Me,92.0,Romance,5.9,67
tt1512893,Father of Four - In Japanese Mode,90.0,Family,3.4,212
tt1515069,High on Hope,72.0,"Documentary,Music",8.3,15
tt1515208,Walking with the Enemy,124.0,"Action,Drama,History",6.3,1447
tt1516577,Sedona,90.0,"Adventure,Comedy,Drama",5.3,147
tt1516595,Trippin',88.0,"Comedy,Horror",4.4,64
tt1517225,The Enemy,108.0,"Drama,Horror,Mystery",7.4,2189
tt1517605,Astralis - Institution,81.0,"Biography,Comedy,Documentary",8.7,23
tt1521782,Exit: Una storia personale,85.0,Drama,6.8,19
tt1527710,Puppet,78.0,"Documentary,Drama",7.7,29
tt1527723,Rocco vs Cleopatra,85.0,"Adventure,Comedy,Drama",7.3,9
tt1527821,Heart String Marionette,122.0,"Action,Animation",6.1,160
tt1528274,Brainwashed Love,90.0,"Comedy,Drama,Romance",7.8,11
tt1534084,In Gold We Trust,100.0,Adventure,4.5,875
tt1535109,Captain Phillips,134.0,"Biography,Drama,Thriller",7.8,387402
tt1535491,The Secret Reunion,117.0,"Action,Drama",7.0,3218
tt1535611,In der Welt habt ihr Angst,90.0,Drama,6.8,20
tt1537385,Annabelle & Bear,100.0,Drama,8.0,53
tt1538545,Zot van A.,120.0,"Comedy,Romance",5.8,821
tt1538833,Make Believe,88.0,Documentary,7.2,395
tt1538988,Retratos en un mar de mentiras,91.0,Drama,7.1,224
tt1539042,Slackistan,85.0,Drama,5.5,382
tt1539491,Bale Pandiya,137.0,Comedy,5.6,55
tt1540074,There Once was an Island: Te Henua e Nnoho,80.0,Documentary,7.9,71
tt1545489,The Flight of the Swan,94.0,Drama,4.9,137
tt1547032,Wright Street,120.0,"Drama,Mystery",7.0,7
tt1549572,Another Earth,92.0,"Drama,Romance,Sci-Fi",7.0,85839
tt1555056,Living Downstream,85.0,Documentary,6.8,20
tt1555187,Campamento Flipy,,Comedy,2.0,164
tt1558741,Comme les cinq doigts de la main,116.0,"Action,Drama,Thriller",5.1,430
tt1559035,Festival of Lights,120.0,Drama,7.5,34
tt1560962,Killed on the Fourth of July,,Horror,6.0,7
tt1562295,Ed Gein: The Musical,92.0,"Comedy,Horror,Musical",7.0,36
tt1563121,Closets,91.0,"Horror,Thriller",3.7,40
tt1564368,Aftermath,92.0,"Horror,Sci-Fi,Thriller",4.7,1522
tt1564870,Not Today,103.0,Drama,5.6,614
tt1569505,Suicide Club,96.0,"Adventure,Comedy,Drama",6.1,231
tt1570962,A Nightmare in Las Cruces,103.0,Documentary,5.8,172
tt1571416,The Right to Love: An American Family,88.0,Documentary,7.9,75
tt1575538,Dust Radio: A Film About Chris Whitley,97.0,"Documentary,Drama",8.2,5
tt1575695,The Human War,76.0,Drama,6.9,14
tt1580346,ReGeneration,81.0,"Action,Biography,Documentary",6.9,212
tt1582507,House at the End of the Street,101.0,"Drama,Horror,Thriller",5.6,66303
tt1582546,Maryada Ramanna,125.0,"Action,Comedy",7.4,2137
tt1583743,Jews and Baseball: An American Love Story,91.0,"Biography,Documentary,History",7.3,100
tt1584131,The Last Godfather,100.0,"Comedy,Crime,Romance",3.7,1071
tt1584146,Sol Invictus,106.0,Sci-Fi,3.4,186
tt1587107,Rinko Eighteen: Find a New Actress!,,Comedy,4.0,8
tt1587699,The Extraordinary Ordinary Life of José González,75.0,"Documentary,Music",7.0,79
tt1592528,The Future Is Now!,92.0,Drama,5.9,30
tt1592531,The Holy Roller,89.0,Drama,5.9,32
tt1593726,Love in Perth,90.0,"Drama,Romance",5.8,44
tt1595379,The Lutefisk Wars,86.0,Comedy,7.4,14
tt1595637,Deadly Closure,100.0,"Action,Drama,Mystery",2.4,310
tt1600197,Behind Your Eyes,85.0,"Horror,Thriller",3.0,349
tt1603379,Shackled,82.0,"Horror,Thriller",3.5,102
tt1604709,Straight & Butch,89.0,"Biography,Documentary",5.1,15
tt1606215,Evolusi: KL Drift 2,100.0,"Action,Crime",5.6,118
tt1606706,Barbershop Punk,84.0,"Documentary,News",7.3,63
tt1608246,Therapissed,76.0,Comedy,8.0,26
tt1608290,Zoolander 2,101.0,Comedy,4.7,59914
tt1608345,Bastards of Utopia,55.0,"Documentary,Drama",8.4,34
tt1609150,Napoli 24,75.0,Documentary,5.4,36
tt1611878,Komoly dolgok,70.0,Drama,7.8,10
tt1612608,The Italian,102.0,"Comedy,Drama",5.8,1360
tt1614963,The Way Between Two Points,81.0,Drama,8.1,9
tt1615477,The Half-Life Horror from Hell or: Irradiated Satan Rocks the World!,111.0,"Comedy,Horror",6.8,23
tt1615840,Sinyora Enrica ile Italyan Olmak,110.0,"Comedy,Drama",6.6,578
tt1615902,Vacation!,90.0,"Comedy,Crime",5.4,116
